Parameter Name,Count,Mean_99pct,Std_99pct,Min_99pct,Max_99pct
"Particle Number, Total Count",14,54856.66428571428,33293.263300452265,3125.0,135129.0
Mixing Height,7,3144.5714285714284,723.7860773144823,1752.0,3810.0
Methane,6,2537.0,315.2237300711988,2170.0,3070.0
Total hydrocarbons,3,2282.3333333333335,183.51112591157337,2100.0,2467.0
Elapsed Sample Time,166,1439.632530120482,0.5198154529713204,1439.0,1441.0
Iron PM10 LC,2,1081.2,444.7701653663384,766.7,1395.7
Barometric pressure,310,963.2496774193553,74.73521013685459,727.0,1095.6
Average Ambient Pressure for URG3000N,137,745.2335766423357,34.46636526974789,615.0,776.0
Sample Max Baro Pressure,141,743.2836879432624,41.07977017621326,581.0,781.0
Average Ambient Pressure,382,742.6047120418848,39.94081288818279,579.0,778.0
Sample Min Baro Pressure,141,738.2553191489362,41.14146400883505,578.0,774.0
Carbon dioxide,3,509.6666666666667,38.552993831002716,470.0,547.0
Total NMOC (non-methane organic compound),54,376.71607037037035,434.57829499853085,66.4456,3030.0
Wind Direction - Resultant,666,351.2046546546546,17.35393762907832,2.5,359.1
Wind Direction - Scalar,344,342.31976744186045,18.44784829326442,268.0,359.0
Sum of PAMS target compounds,17,310.3882352941177,227.60274570606825,85.4,796.0
Acetonitrile,41,247.0968292682927,602.5274964739743,0.19,2360.0
Light scatter (miles visibility),1,154.3,,154.3,154.3
Suspended particulate (TSP),31,118.29032258064517,51.04259237694672,40.0,279.0
Zinc PM10 LC,2,103.35,19.72827919510467,89.4,117.3
PM10 Total 0-10um STP,1204,98.95091362126247,129.60524888861747,3.0,1588.3
Zinc PM10 STP,1,98.5,,98.5,98.5
Relative Humidity ,408,95.12965686274508,7.672409990755364,25.0,100.5
Ethyl alcohol,16,90.00625,187.53273303168524,6.8,782.0
Outdoor Temperature,826,89.72506053268765,8.362221775738456,45.5,113.0
Naphthalene (TSP) STP,32,84.11809375,53.63725725130379,7.63,176.0
Virtual Temperature,53,84.0358490566038,10.312149189177536,67.5,106.9
Indoor Temperature,94,81.91595744680852,4.725981793463479,65.0,97.0
Dew Point,27,70.85185185185185,8.738525239525453,44.0,80.0
Std Dev Hz Wind Direction,416,61.76177884615385,13.962065843248775,0.4,95.0
PM10 - LC,417,55.02536211031172,58.03705968574837,1.461,505.0
Oxides of nitrogen (NOx),346,51.596531791907495,37.86216634201721,1.0,203.0
Std Dev Vt Wind Direction,9,50.22222222222222,15.188628787499036,33.0,73.0
Visibility,3,50.0,0.0,50.0,50.0
Reactive oxides of nitrogen (NOy),79,49.86582278481012,39.65339215313418,2.8,176.6
UV Carbon PM2.5 at 370 nm,28,49.629999999999995,241.21857451052333,0.94,1280.41
Ethane,47,47.51315319148936,56.36479949008358,1.8,263.04
Manganese PM10 STP,16,43.873749999999994,123.02969960542049,0.83,503.0
Propane,47,43.58179787234043,43.89011805335193,4.08,182.0
Manganese PM10 LC,22,38.33863636363637,30.117645088402842,3.97,117.0
Ultraviolet radiation (type B),3,36.461333333333336,30.440086486955543,1.354,55.5
Ambient Max Temperature,140,36.382857142857134,4.088234440776895,17.7,47.0
PM10-2.5 - Local Conditions,301,35.87807308970098,82.79265859729337,0.3,1247.9
Sample Volume - Quartz Filter,137,31.74525547445257,0.20578787011918978,31.5,33.7
Nitric oxide (NO),420,31.57666666666668,55.70440720178669,0.1,1000.0
Nitrogen dioxide (NO2),872,31.29438073394495,13.828328403527909,1.0,67.1
Peak Wind Gust,167,30.70059880239521,5.446901374087354,21.6,47.0
Black Carbon PM2.5 at 880 nm,47,30.39765957446809,191.16267586640268,0.7,1313.04
Barium PM10 LC,2,29.900000000000002,17.39482681718907,17.6,42.2
PM2.5 Raw Data,34,29.49411764705882,14.101771674132866,6.7,76.1
PM1 - Local Conditions,4,28.075000000000003,4.196327759680679,22.8,31.6
Average Ambient Temperature,381,27.1503937007874,5.57759437886246,11.3,52.3
PM2.5 - Local Conditions,13353,26.385119448813036,17.886011177409337,0.9,288.5
2-Propanol,16,25.675625,66.47311686877634,1.1,272.7
Copper PM10 LC,2,25.15,18.031222920256962,12.4,37.9
